Date;Growatt_MIC_600TL_X_0.read_input_power;Growatt_MIC_600TL_X_0.read_output_power;Growatt_MIC_600TL_X_0.read_grid_frequency;Growatt_MIC_600TL_X_0.read_today_generate_energy;Growatt_MIC_600TL_X_0.read_total_generate_energy;Growatt_MIC_600TL_X_0.read_work_time_total;Growatt_MIC_600TL_X_0.read_inverter_temperature;Growatt_MIC_600TL_X_0.read_inside_ipm_inverter_temperature
;: ;: ;: ;: ;: ;: ;: ;: 
;;;;;;;;
23.06.2025 00:00:00,000;0;0;50;2,7;1225,8;704,979305555556;36;36
23.06.2025 01:00:00,000;0;0;50;2,7;1225,8;704,979305555556;36;36
23.06.2025 02:00:00,000;0;0;50;2,7;1225,8;704,979305555556;36;36
23.06.2025 03:00:00,000;0;0;50;2,7;1225,8;704,979305555556;36;36
23.06.2025 04:00:00,000;0;0;50;2,7;1225,8;704,979305555556;36;36
23.06.2025 05:00:00,000;0;0;50,05;0;1225,8;704,979305555556;27,7;27,7
23.06.2025 06:00:00,000;137,6;134,9;50;0;1225,8;705,861527777778;36,3;36,3
23.06.2025 07:00:00,000;203,3;199,2;50,02;0,2;1226;706,856527777778;40,2;40,2
23.06.2025 08:00:00,000;123;120,6;50,02;0,3;1226,1;707,850416666667;39,6;39,6
23.06.2025 09:00:00,000;332,5;325,9;50,04;0,5;1226,3;708,845972222222;42,9;42,9
23.06.2025 10:00:00,000;414,6;406,4;49,95;0,9;1226,7;709,839861111111;45,1;45,1
23.06.2025 11:00:00,000;148,2;145,3;50,04;1,2;1227;710,834305555556;43;43
23.06.2025 12:00:00,000;157,6;154,3;50,03;1,4;1227,2;711,82875;43;43
23.06.2025 13:00:00,000;131,7;130;49,98;1,6;1227,4;712,823194444444;40,9;40,9
23.06.2025 14:00:00,000;63,4;62,2;50,03;1,7;1227,5;713,818194444444;39,4;39,4
23.06.2025 15:00:00,000;26,2;25,7;49,97;1,8;1227,6;714,813194444444;37,4;37,4
23.06.2025 16:00:00,000;25,5;25;50,03;1,8;1227,6;715,808194444444;37,6;37,6
23.06.2025 17:00:00,000;12,2;12;49,99;1,8;1227,6;716,80375;36,7;36,7
23.06.2025 18:00:00,000;58,3;57,1;50,02;1,9;1227,7;717,799861111111;37,7;37,7
23.06.2025 19:00:00,000;15,2;14,9;50,02;1,9;1227,7;718,794861111111;37,6;37,6
23.06.2025 20:00:00,000;5,9;5,8;50,02;1,9;1227,7;719,791527777778;36,8;36,8
23.06.2025 21:00:00,000;0;0;50;1,9;1227,7;720,351527777778;36,3;36,3
23.06.2025 22:00:00,000;0;0;50;1,9;1227,7;720,351527777778;36,3;36,3
23.06.2025 23:00:00,000;0;0;50;1,9;1227,7;720,351527777778;36,3;36,3
24.06.2025 00:00:00,000;0;0;50;1,9;1227,7;720,351527777778;36,3;36,3
24.06.2025 01:00:00,000;0;0;50;1,9;1227,7;720,351527777778;36,3;36,3
24.06.2025 02:00:00,000;0;0;50;1,9;1227,7;720,351527777778;36,3;36,3
24.06.2025 03:00:00,000;0;0;50;1,9;1227,7;720,351527777778;36,3;36,3
24.06.2025 04:00:00,000;0;0;50;1,9;1227,7;720,351527777778;36,3;36,3
