Date;PV_WR.ERRSUM;PV_WR.COMOK;PV_WR.read_Status;PV_WR.read_akt_ges_P;PV_WR.read_tag_ges_E;PV_WR.read_jahr_ges_E;PV_WR.read_total_ges_E;PV_WR.read_SF_MPPT_akt_P;PV_WR.read_SF_MPPT_ges_E;PV_WR.read_MPPT1_ges_E;PV_WR.read_MPPT1_akt_P;PV_WR.read_MPPT2_ges_E;PV_WR.read_MPPT2_akt_P
;Photovoltaik Wechselrichter, Manipulation: Summenstörung Anlage;Photovoltaik Wechselrichter, Manipulation: Wärmepumpe Heizen Freigabe;Photovoltaik Wechselrichter, Manipulation: aktuelle gesamte Leistung Wechselrichter [W];Photovoltaik Wechselrichter, Manipulation: aktuelle gesamte Leistung Wechselrichter [W];Photovoltaik Wechselrichter, Manipulation:  gesamt erbrachte Energie von diesem Tag [Wh];Photovoltaik Wechselrichter, Manipulation:  gesamt erbrachte Energie von diesem Jahr[Wh];Photovoltaik Wechselrichter, Manipulation:  gesamt erbrachte Energie [Wh];Photovoltaik Wechselrichter, Manipulation: Sacale Factor MPPT Aktuelle Leistung, int16, reg40268;Photovoltaik Wechselrichter, Manipulation: Sacale Factor MPPT Gesamte Energie, int16, reg40269;Photovoltaik Wechselrichter, Manipulation:  gesamt erbrachte Energie MPPT1 [Wh];Photovoltaik Wechselrichter, Manipulation:  gesamt erbrachte Energie MPPT1 [W];Photovoltaik Wechselrichter, Manipulation:  gesamt erbrachte Energie MPPT2 [Wh];Photovoltaik Wechselrichter, Manipulation:  gesamt erbrachte Energie MPPT2 [W]
;;;;;;;;;;;;;
23.06.2025 00:00:00,000;1;0;523;0;1056;3590643;19479850;0,01;1;10413670;0;9066180;0
23.06.2025 01:00:00,000;1;0;523;0;1056;3590643;19479850;0,01;1;10413670;0;9066180;0
23.06.2025 02:00:00,000;1;0;523;0;1056;3590643;19479850;0,01;1;10413670;0;9066180;0
23.06.2025 03:00:00,000;1;0;523;0;1056;3590643;19479850;0,01;1;10413670;0;9066180;0
23.06.2025 04:00:00,000;1;1;306;0;1056;3590643;19479850;0,01;1;10413670;0;9066180;0
23.06.2025 05:00:00,000;1;1;0;196;1103;3590690;19479900;0,01;1;10413690;122,91;9066200;109,47
23.06.2025 06:00:00,000;1;1;0;805;1523;3591110;19480320;0,01;1;10413940;543,01;9066380;304,85
23.06.2025 07:00:00,000;1;1;0;2093;2891;3592478;19481690;0,1;1;10414680;1134,4;9067000;1034,8
23.06.2025 08:00:00,000;1;1;0;1659;4565;3594152;19483360;0,1;1;10415550;906,1;9067800;823,1
23.06.2025 09:00:00,000;1;1;0;3320;6827;3596415;19485620;0,1;1;10416740;1811,6;9068880;1647,2
23.06.2025 10:00:00,000;1;0;0;5186;10376;3599964;19489170;0,1;1;10418590;2794,3;9070570;2562,9
23.06.2025 11:00:00,000;1;0;0;5186;10376;3599964;19489170;0,1;1;10418590;2794,3;9070570;2562,9
23.06.2025 12:00:00,000;1;0;0;5186;10376;3599964;19489170;0,1;1;10418590;2794,3;9070570;2562,9
23.06.2025 13:00:00,000;1;0;0;5186;10376;3599964;19489170;0,1;1;10418590;2794,3;9070570;2562,9
23.06.2025 14:00:00,000;1;0;0;5186;10376;3599964;19489170;0,1;1;10418590;2794,3;9070570;2562,9
23.06.2025 15:00:00,000;1;1;0;656;29345;3618932;19508140;0,01;1;10428460;362,71;9079670;335,98
23.06.2025 16:00:00,000;1;1;0;116;31112;3620700;19509910;0,01;1;10429370;74,93;9080530;67,42
23.06.2025 17:00:00,000;1;1;0;6;31159;3620746;19509950;0,01;1;10429400;17,71;9080550;15,75
23.06.2025 18:00:00,000;1;1;0;950;446;3621194;19510400;0,01;1;10429630;520,08;9080770;488,25
23.06.2025 19:00:00,000;1;1;0;118;997;3621745;19510950;0,01;1;10429910;83,21;9081040;68,86
23.06.2025 20:00:00,000;1;1;523;2;1011;3621759;19510970;0,01;1;10429920;3,39;9081040;2,25
23.06.2025 21:00:00,000;1;0;307;0;1011;3621759;19510970;0,01;1;10429920;0;9081040;0
23.06.2025 22:00:00,000;1;0;307;0;1011;3621759;19510970;0,01;1;10429920;0;9081040;0
23.06.2025 23:00:00,000;1;0;523;0;1011;3621759;19510970;0,01;1;10429920;0;9081040;0
24.06.2025 00:00:00,000;1;0;523;0;1011;3621759;19510970;0,01;1;10429920;0;9081040;0
24.06.2025 01:00:00,000;1;0;523;0;1011;3621759;19510970;0,01;1;10429920;0;9081040;0
24.06.2025 02:00:00,000;1;0;523;0;1011;3621759;19510970;0,01;1;10429920;0;9081040;0
24.06.2025 03:00:00,000;1;0;523;0;1011;3621759;19510970;0,01;1;10429920;0;9081040;0
24.06.2025 04:00:00,000;1;1;306;0;1011;3621759;19510970;0,01;1;10429920;0;9081040;0
24.06.2025 05:00:00,000;1;1;0;149;1050;3621798;19511010;0,01;1;10429940;98,59;9081060;91,01
24.06.2025 06:00:00,000;1;1;0;456;1332;3622079;19511290;0,01;1;10430090;264,18;9081200;234,94
24.06.2025 07:00:00,000;1;1;0;2361;2894;3623642;19512850;0,1;1;10430919;1284,7;9081930;1169,3
24.06.2025 08:00:00,000;1;1;0;3341;5875;3626623;19515830;0,1;1;10432470;1903,6;9083360;1609,5
24.06.2025 09:00:00,000;1;1;0;4524;9913;3630662;19519870;0,1;1;10434580;2444,3;9085290;2234,8
24.06.2025 10:00:00,000;1;1;0;5098;14732;3635481;19524690;0,1;1;10437090;2746,8;9087600;2525,2
24.06.2025 11:00:00,000;1;1;0;5387;19994;3640743;19529950;0,1;1;10439820;2900,9;9090119;2680
24.06.2025 12:00:00,000;1;0;0;5455;22821;3643570;19532780;0,1;1;10441290;2929;9091480;2717,7
24.06.2025 13:00:00,000;1;1;0;5237;30769;3651519;19540730;0,1;1;10445410;2797,3;9095310;2608,5
24.06.2025 14:00:00,000;1;1;0;4650;35720;3656477;19545690;0,1;1;10447970;2488,9;9097710;2332,8
24.06.2025 15:00:00,000;1;1;0;4002;40020;3660775;19549980;0,1;1;10450190;2128,3;9099790;2010,2
24.06.2025 16:00:00,000;1;0;0;2993;43340;3664089;19553300;0,1;1;10451890;1584;9101410;1515,7
24.06.2025 17:00:00,000;1;1;0;1809;45830;3666578;19555790;0,1;1;10453150;954,3;9102630;931,2
24.06.2025 18:00:00,000;1;1;0;732;622;3667827;19557040;0,01;1;10453780;390,68;9103250;385,98
24.06.2025 19:00:00,000;1;1;0;123;998;3668203;19557410;0,01;1;10453970;76,25;9103440;73,86
24.06.2025 20:00:00,000;1;1;0;0;1042;3668248;19557460;0,01;1;10453990;0;9103460;0
24.06.2025 21:00:00,000;1;1;307;0;1043;3668248;19557460;0,01;1;10453990;0;9103460;0
24.06.2025 22:00:00,000;1;0;307;0;1043;3668248;19557460;0,01;1;10453990;0;9103460;0
