Date;RAU006.ABL_LQ.MS;RAU006.ERR_TE_MW;RAU006.ERR_FE_MW;RAU006.ERR_ABL_LQ_MW;RAU006.ERR_TE_SW;RAU006.ERR_TE_SW_HZG;RAU006.ERR_TE_SW_KUG;RAU006.LI_REG.BS_IW;RAU006.LI_REG.BS_SW_REG;RAU006.LI_REG.LI_SW_REL;RAU006.LI_REG.LI_JAL_FG;RAU006.ZUL_VSTR_SW;RAU006.ABL_VSTR_SW;RAU006.JAL_L_REG.JAL_BLS;RAU006.JAL_R_REG.BS_MS;RAU006.JAL_R_REG.JAL_IW_REL;RAU006.JAL_R_REG.JAL_L_IW_REL;RAU006.JAL_L_REG.JAL_L_SWH_REL;RAU006.JAL_L_REG.JAL_L_SWD_REL;RAU006_VR.HKKRS_TV.MS;RAU006_VR.KKRP_TV.MS;RAU006_VR.HKKRS_TR.ValueIn;RAU006_VR.HKRP_TV.Value;RAU006_VR.KKR_TE_SW;RAU006_VR.BerLeistung
;TE06 Büro- Raumregelung: Abluft Luftqualität [ppm]: Messung;TE06 Büro- Raumregelung: Einzelraumregler Temperatur Messwert, [°C];TE06 Büro- Raumregelung: Einzelraumregler Feuchte Messwert [%rF];TE06 Büro- Raumregelung: Einzelraumregler Abluft Luftqualität Messwert, [ppm];TE06 Büro- Raumregelung: Einzelraumregler Temperatur Sollwert, [°C];TE06 Büro- Raumregelung: Einzelraumregler Temperatur Sollwert für Heizbetrieb, [°C];TE06 Büro- Raumregelung: Einzelraumregler Temperatur Sollwert für Kühlbetrieb, [°C];TE06 Büro- Raumregelung: Licht Regelung: Beleuchtungsstärke Istwert;TE06 Büro- Raumregelung: Licht Regelung: Beleuchtungsstärke Sollwert Regler [lux];TE06 Büro- Raumregelung: Licht Regelung: Licht Sollwert Relativ [%];TE06 Büro- Raumregelung: Licht Regelung: Licht Jalousie Freigabe;TE06 Büro- Raumregelung: Zuluft Volumenstrom Sollwert, [%];TE06 Büro- Raumregelung: Abluft Volumenstrom Sollwert, [%];TE06 Büro- Raumregelung: Jalousie Links Regelung: Jalousie Blendeschutz;TE06 Büro- Raumregelung: Jalousie Rechts Regelung: Beleuchtungsstärke Messwert [lux];TE06 Büro- Raumregelung: Jalousie Rechts Regelung: Jalousie Istwert relativ[%];TE06 Büro- Raumregelung: Jalousie Rechts Regelung: Jalousie Lamellen Istwert relativ[%];TE06 Büro- Raumregelung: Jalousie Links Regelung: Jalousie Lamellen Sollwert Heller Relativ [%];TE06 Büro- Raumregelung: Jalousie Links Regelung: Jalousie Lamellen Sollwert Dunkler Relativ [%];TE06 Büro Vorregelung: Heiz- Kühlkreis Sekundär Temperatur Vorlauf [°C]: Messung;TE06 Büro Vorregelung: Kühlkreis Primär Temperatur Vorlauf  [°C]: Messung;TE06 Büro Vorregelung: Heiz- Kühlkreis Sekundär Temperatur Rücklauf [°C]: Istwert;TE06 Büro Vorregelung: Heizkreis Primär Temperatur Vorlauf [°C]: Istwert;TE06 Büro Vorregelung: Kühlkreis Temperatur Sollwert [°C], ENDGÜLTIG;TE06 Büro Vorregelung: Berechnete Leistung [W], BEACHTE: Durchfluss nur über Ventil-Sekundär-Primär gemessen!
;;;;;;;;;;;;;;;;;;;;;;;;;
23.06.2025 00:00:00,000;364,329966124454;25,2632221442305;44,4685201574755;364,329966124454;21;0;0;5;0;0;1;0;0;1;5;0;0;0;11;25,08;24,74;25,26;25,4;18,3;0
23.06.2025 01:00:00,000;360,423596911527;25,2021851252785;44,5417645802179;360,423596911527;21;0;0;5;0;0;1;0;0;1;5;0;0;0;11;25,09;24,5;25,26;25,39;18,3;0
23.06.2025 02:00:00,000;366,771446882534;25,1045258949553;44,5905941953795;366,283150730918;21;0;0;5;0;0;1;0;0;1;5;0;0;0;11;25,09;24,23;25,26;25,38;18,3;0
23.06.2025 03:00:00,000;364,329966124454;25,0312814722129;44,6638386181219;364,81826227607;21;0;0;5;0;0;1;0;0;1;5;0;0;0;11;25,07;24,09;25,24;25,34;18,3;0
23.06.2025 04:00:00,000;364,81826227607;24,9809259315775;44,7126682332835;365,794854579302;21;0;0;5;0;0;1;0;0;1;5;0;0;0;11;25,04;24,01;25,22;25,3;18,3;0
23.06.2025 05:00:00,000;349,19278542436;24,3461409344768;45,493942075869;349,19278542436;23;0;0;5;400;100;1;0;0;1;5;0;0;0;11;18,37;15,09;19,12;25,17;18,3;90,1765350341797
23.06.2025 06:00:00,000;388,744773705252;23,9188818018128;44,8835718863491;389,233069856868;23;0;0;5;0;79,4267605759998;1;0;0;1;5;99;100;0;11;18,32;15,28;18,85;24,98;18,3;45,4680093701681
23.06.2025 07:00:00,000;419,507431257057;23,7235633411664;44,6882534257027;419,019135105441;23;0;0;5;0;79,4267605759998;1;0;0;1;5;99;100;0;11;18,28;15,27;18,77;24,76;18,3;37,5685382359821
23.06.2025 08:00:00,000;444,898831141087;23,6381115146336;44,9079866939299;444,410534989471;23;0;0;5;600;100;1;0;0;1;5;98;0;0;11;18,29;15,25;18,78;24,58;18,3;34,2589898090364
23.06.2025 09:00:00,000;472,243415631581;23,7968077639088;45,4451124607074;471,755119479965;23;0;0;5;0;0;1;0;0;1;5;98;0;0;11;18,33;15,2;18,89;24,41;18,3;50,3109444444447
23.06.2025 10:00:00,000;491,775261696219;23,9310892056032;46,1287270729698;491,286965544603;23;0;0;5;0;0;1;0;0;1;5;98;22;0;11;18,26;15,25;18,78;24,26;18,3;43,0300333031548
23.06.2025 11:00:00,000;491,286965544603;23,894466994232;48,6434522537919;491,775261696219;23;0;0;5;0;0;1;0;0;1;5;98;22;0;11;18,28;15,48;18,8;24,14;18,3;47,2444042188856
23.06.2025 12:00:00,000;492,263557847835;24,0043336283456;49,2049928281503;492,263557847835;23;0;0;5;0;0;1;0;0;1;5;98;44;0;11;18,59;15,32;19,21;24,06;18,3;71,4050611529881
23.06.2025 13:00:00,000;467,360454115421;23,7968077639088;49,6444593646046;467,360454115421;23;0;0;5;0;0;1;0;0;1;5;99;100;0;11;18,35;15,64;18,78;23,98;18,3;33,5494691289266
23.06.2025 14:00:00,000;445,875423444319;23,6625263222144;50,3555406353954;445,875423444319;23;0;0;5;0;0;1;0;0;1;5;99;100;0;11;18,26;15,51;18,77;23,93;18,3;43,0635444056191
23.06.2025 15:00:00,000;445,875423444319;23,5770744956816;52,088991973632;445,875423444319;23;0;0;5;0;0;1;0;0;1;5;99;100;0;11;18,39;15,37;18,87;23,91;18,3;39,0712939249675
23.06.2025 16:00:00,000;446,363719595935;23,5526596881008;55,1408429212317;446,363719595935;23;0;0;5;0;0;1;0;0;1;5;99;100;0;11;18,29;15,67;18,78;23,89;18,3;45,0154546390111
23.06.2025 17:00:00,000;443,922238837855;23,5038300729392;56,2639240699484;443,922238837855;23;0;0;5;0;0;1;0;0;1;5;99;100;0;11;18,16;15,5;18,68;23,88;18,3;45,312920618693
23.06.2025 18:00:00,000;437,574388866848;23,7357707449568;55,8000427259133;437,086092715232;21;0;0;5;0;0;1;0;0;1;5;0;0;0;11;19,42;17,26;19,82;23,88;18,3;0
