Date;MSR02_WST_ALLG.read_okay;MSR02_WST_ALLG.WindgeschwKmh;MSR02_WST_ALLG.ErrSum;MSR02_WST_ALLG.akt_rel_LuftFeuchte;MSR02_WST_ALLG.akt_abs_LuftDruck;MSR02_WST_ALLG.akt_WindRichtung;MSR02_WST_ALLG.akt_Kompass;MSR02_WST_ALLG.akt_Niederschlagsart;MSR02_WST_ALLG.akt_Globalstrahlung;MSR02_WST_ALLG.akt_Lufttemperatur;MSR02_WST_ALLG.akt_Taupunkt;MSR02_WST_ALLG.akt_Windgeschwindigkeit;MSR02_WST_ALLG.akt_Niederschlag
;MSR02 Wetterstation ALlgemein: Lesevorgang Okay;MSR02 Wetterstation ALlgemein: Windgeschwindigkeit in km/h;MSR02 Wetterstation ALlgemein: Summenstörung;MSR02 Wetterstation ALlgemein: aktuelle Relative Luftfeuchte [%];MSR02 Wetterstation ALlgemein: aktueller absoluter Luftdruck [hPa];MSR02 Wetterstation ALlgemein: aktuelle Windrichtung [°];MSR02 Wetterstation ALlgemein: Ausrichtung[°];MSR02 Wetterstation ALlgemein: Niederschlagsart: 0 = kein Niederschlag, 60 = flüssiger Niederschlag z.B. Regen, 70 = fester Niederschlag, z.B. Schnee 40 = unspezifizierter Niederschlag  (WS401-UMB, WS601-UMB, ext. 
Kippwaage) Nur WS100-UMB: 67: Eisregen 69: Schneeregen 90: Hagel;MSR02 Wetterstation ALlgemein: aktuelle Globalstrahlung [W/m²];MSR02 Wetterstation ALlgemein: aktuelle Lufttemperatur [°C];MSR02 Wetterstation ALlgemein: aktueller Taupunkt [°C];MSR02 Wetterstation ALlgemein: aktuelle Windgeschwindigkeit [m/s];MSR02 Wetterstation ALlgemein: aktueller absoluter Niederschlagsitens.  [mm/h]
;;;;;;;;;;;;;
23.06.2025 00:00:00,000;1;5,4;0;46,2999992370605;963,200012207031;173,5;0;0;0;22,5;10,3999996185303;1,5;0
23.06.2025 01:00:00,000;1;7,2;0;48,2000007629395;963,099975585938;199,800003051758;0;0;0;21,7999992370605;10,3999996185303;2;0
23.06.2025 02:00:00,000;1;3,96;0;53,7999992370605;962,700012207031;179,300003051758;0;0;0;20,2000007629395;10,6000003814697;1,1;0
23.06.2025 03:00:00,000;1;9,72;0;51,9000015258789;962,400024414063;172,300003051758;1;0;0;20,3999996185303;10,1999998092651;2,7;0
23.06.2025 04:00:00,000;1;5,4;0;54;962,599975585938;186,300003051758;0;0;0;19,8999996185303;10,3000001907349;1,5;0
23.06.2025 05:00:00,000;1;14,04;0;56,9000015258789;962,5;185,5;1;0;0;19,2000007629395;10,3999996185303;3,9;0
23.06.2025 06:00:00,000;1;11,52;0;51,7000007629395;961,799987792969;155,300003051758;0;0;0;20,7999992370605;10,5;3,2;0
23.06.2025 07:00:00,000;1;3,6;0;53,5;962,299987792969;203,100006103516;0;0;0;21,1000003814697;11,3000001907349;1;0
23.06.2025 08:00:00,000;1;12,96;0;50,5999984741211;962,700012207031;168;1;0;0;22,3999996185303;11,6000003814697;3,6;0
23.06.2025 09:00:00,000;1;3,96;0;49,7999992370605;963,200012207031;190,199996948242;1;0;0;24,3999996185303;13,1999998092651;1,1;0
23.06.2025 10:00:00,000;1;3,6;0;41,5;962,799987792969;227,600006103516;1;0;0;27,1000003814697;12,8999996185303;1;0
23.06.2025 11:00:00,000;1;2,88;0;42,5999984741211;961,799987792969;258,5;1;0;0;27;13,1999998092651;0,8;0
23.06.2025 12:00:00,000;1;1,8;0;39,7999992370605;960,799987792969;8,5;1;0;0;29,7999992370605;14,6999998092651;0,5;0
23.06.2025 13:00:00,000;1;2,52;0;36,2999992370605;959,200012207031;203,600006103516;1;0;0;30,8999996185303;14,1999998092651;0,7;0
