Datum + Uhrzeit,Durchfluss Zähler Fernwärme (m³/h),Durchfluss Wasserzähler TWE (m³/h),Durchfluss m³ Zähler Zirkulation (m³/h)
17.12.2024 09:00,"3,81",0,"0,6"
17.12.2024 09:05,"3,31",0,"0,59"
17.12.2024 09:10,"3,1",0,"0,6"
17.12.2024 09:15,"2,69",0,"0,61"
17.12.2024 09:20,"2,57",0,"0,6"
17.12.2024 09:25,"2,62",0,"0,6"
17.12.2024 09:30,"2,74",0,"0,59"
17.12.2024 09:35,"2,83",0,"0,61"
17.12.2024 09:40,"2,74",0,"0,6"
17.12.2024 09:45,"2,76",0,"0,61"
17.12.2024 09:50,"2,86",0,"0,6"
17.12.2024 09:55,"2,86",0,"0,6"
17.12.2024 10:00,"2,92",0,"0,6"
17.12.2024 10:05,"2,92",0,"0,59"
17.12.2024 10:10,"4,97",0,"0,6"
17.12.2024 10:15,"4,79",0,"0,6"
17.12.2024 10:20,"4,98",0,"0,6"
17.12.2024 10:25,"5,08",0,"0,61"
17.12.2024 10:30,"4,18",0,"0,6"
17.12.2024 10:35,"3,58",0,"0,6"
17.12.2024 10:40,"3,34",0,"0,6"
17.12.2024 10:45,"3,05",0,"0,61"
17.12.2024 10:50,"2,82",0,"0,6"
17.12.2024 10:55,"2,67",0,"0,6"
17.12.2024 11:00,"2,65",0,"0,6"
17.12.2024 11:05,"2,59",0,"0,6"
17.12.2024 11:10,"2,61",0,"0,61"
17.12.2024 11:15,"2,62",0,"0,6"
17.12.2024 11:20,"2,67",0,"0,59"
17.12.2024 11:25,"2,73",0,"0,6"
17.12.2024 11:30,"2,74",0,"0,61"
17.12.2024 11:35,"2,78",0,"0,61"
17.12.2024 11:40,"2,69",0,"0,6"
17.12.2024 11:45,"4,39",0,"0,6"
17.12.2024 11:50,"4,61",0,"0,61"
17.12.2024 11:55,"4,97",0,"0,59"
17.12.2024 12:00,"5,13",0,"0,61"
17.12.2024 12:05,"4,37",0,"0,61"
17.12.2024 12:10,"3,26",0,"0,6"
17.12.2024 12:15,"2,25",0,"0,6"
17.12.2024 12:20,"2,02",0,"0,6"
17.12.2024 12:25,"1,9",0,"0,61"
17.12.2024 12:30,"1,85",0,"0,6"
18.12.2024 04:35,0,0,"0,6"
18.12.2024 04:40,0,0,"0,6"
18.12.2024 04:45,0,0,"0,6"
18.12.2024 04:50,0,0,"0,6"
18.12.2024 04:55,0,0,"0,6"
18.12.2024 05:00,0,0,"0,6"
18.12.2024 05:05,"6,61",0,"0,6"
18.12.2024 05:10,"6,66",0,"0,6"
18.12.2024 05:15,"5,54",0,"0,6"
18.12.2024 05:20,"5,83",0,"0,6"
18.12.2024 05:25,"5,54",0,"0,6"
18.12.2024 05:30,"4,85",0,"0,6"
18.12.2024 05:35,"4,76",0,"0,6"
18.12.2024 05:40,"4,97",0,"0,6"
18.12.2024 05:45,"4,23",0,"0,6"
18.12.2024 05:50,"3,46",0,"0,6"
18.12.2024 05:55,3,0,"0,6"
18.12.2024 06:00,"2,57",0,"0,6"
18.12.2024 06:05,"2,59",0,"0,61"
