Datum + Uhrzeit,Pumpe Zirkulation sekundär Zwang AUS/Auto (),Pumpe Zirkulation primär Dauer EIN (),Pumpe Zirkulation sekundär Dauer Aus (),Pumpe Zirkulation primär Zwang AUS/Auto (),Status KWZ EIN/AUS (),Pumpe Zirkulation sekundär EIN/AUS (),Pumpe Zirkulation primär EIN/AUS (),Pumpe Zirkulation primär Dauer AUS (),Pumpe Zirkulation sekundär Dauer Ein (),Puffer 2.05 (°C),Vorlauf EV sekundär (°C),Rücklauf HK1 Ost (°C),Rücklauf HK2 West (°C),Rücklauf Zirkulation primär (°C),Zählerstand Zähler Fernwärme (kWh),Zirkulation von Wohnungen (°C),Durchfluss Wasserzähler TWE (m³/h),Vorlauf EV primär (°C),Kaltwasser (°C),Vorlauf Zirkulation primär (°C),Puffer 2.02 (°C),Puffer 2.06 (°C),Aussenfühler (°C),Rücklauf EV sekundär (°C),Rücklauf EV primär (°C),Zählerstand Zirkulation (kWh),Warmwasser vor Zirkulation (°C),Vorlauf Frischwassermodul (°C),Warmwasser nach Zirkulation (°C),Zählerstand Wasserzähler TWE ( ),Rücklauf Frischwassermodul (°C),Puffer 2.03 (°C),Puffer 2.07 (°C),Status Pumpe HK1 Ost (),Vorlauf HK2 West (°C),Status Pumpe HK2 West (),Leistung Zähler Fernwärme (W),Zirkulation zu Wohnungen (°C),Durchfluss m³ Zähler Zirkulation (m³/h),Leistung in W Zähler Zirkulation (W),Puffer 2.04 (°C),Puffer 2.08 (°C),Status Pumpe Zirkulation primär (),Durchfluss Zähler Fernwärme (m³/h),Status Pumpe Pufferladung (),Vorlauf HK1 Ost (°C),Status Pumpe Zirkulation sekundär (),Puffer 2.01 (°C)
01.12.2023,,,,,,,,,,"56,72","66,7","50,89","50,8",55,"974808,06","55,33",0,"87,11","11,72","65,81","62,83","56,03","1,03","49,92","49,9","117698,78","48,27","64,36","60,67",2099,"37,44","57,67","56,02",1,"53,09",1,"55240,32","61,95",1,"4347,31","56,05","50,08",1,"2,72","0,58","53,03",1,"66,58"
02.12.2023,,,,,,,,,,"56,98","66,57","50,46","50,22","55,06","976058,2","55,46",0,"88,24","11,79","65,64","62,45",56,"-0,58","49,64","49,55","117798,71","48,17","64,22","60,85",2099,"39,02","57,84",56,1,"52,45",1,"53334,23","61,94",1,"4279,28","56,27","50,23",1,"2,59","0,48","52,41",1,"66,5"
03.12.2023,,,,,,,,,,"54,05","66,76","50,58","50,63","52,41","977530,98","52,4",0,"89,85","11,17","60,85","58,24","53,39","-3,7","49,68","49,67","117913,83","45,73","59,61",57,2099,"34,45","54,92","52,95",1,"53,12",1,"60630,72","58,12",1,"3777,12","53,47","47,64",1,"3,09","0,72","53,09",1,"61,58"
04.12.2023,,,,,,,,,,"45,44","66,84","53,15","53,01","45,35","978835,8","45,06",0,"89,86","11,27","53,28","49,46","44,42","-5,57","51,17","51,36","117977,22","41,05","52,64","50,1",2099,"33,99","46,3","43,32",1,"55,88",1,"65598,77","51,05",1,"3882,72","43,99","40,1",1,"3,77","0,49","56,01",1,"53,95"
05.12.2023,,,,,,,,,,"58,99","66,64","47,72","47,17","54,96","980282,29","55,01",0,"89,28","10,82","64,52","63,06","58,16","-0,28","50,05","49,91","118091,45","48,28","62,9","60,67",2099,"39,44","60,08","58,04","0,81","49,44","0,81","54839,58","61,9",1,"4443,75","58,36","50,3",1,"2,85","0,14","49,9",1,"65,31"
06.12.2023,,,,,,,,,,"58,72","66,67",48,"47,65","54,95","981635,74","55,01",0,"88,99","11,18","64,94","62,9","58,1","1,19","50,06","49,94","118201,04","45,77","62,91","60,66",2099,"38,76","59,19","57,61","0,83","50,22","0,83","54006,48","61,96",1,"4498,15","57,85","48,62",1,"2,92","0,08","50,65",1,"65,73"
07.12.2023,,,,,,,,,,"58,72","66,36","48,17","47,84","54,98","982988,67",55,0,"89,02","10,7","64,37","61,68","58,05","0,52","50,16","49,96","118310,46","48,32","62,96","60,3",2099,"35,81","58,93","57,78","0,8","49,82","0,8","49414,07","61,72",1,"4334,07","57,66","47,39",1,"2,61","0,16","49,98",1,"65,05"
08.12.2023,,,,,,,,,,"59,02","66,46","47,82","47,41","54,96","984298,25","54,97",0,"89,02","11,49","64,42","62,51","58,4","-0,22","49,75","49,53","118416,92","47,57","62,7","60,65",2099,"38,76","59,61","58,12","0,82","49,71","0,82","57367,54","61,74",1,"4351,75","58,05","49,81",1,"3,11","0,19","50,04",1,"65,17"
09.12.2023,,,,,,,,,,"58,72","66,42","47,77","47,12","54,93","985600,07","55,04",0,"88,69","10,85","64,57","62,62","57,98","2,1","49,77","49,51","118521,34",48,"63,36","60,51",2099,"38,28","59,14","57,71","0,76","49,44","0,76","50018,12","61,72",1,"4349,28","57,75","49,22",1,"2,67","0,15","49,97",1,"65,26"
10.12.2023,,,,,,,,,,"58,66","66,51","48,17","47,93","54,85","986899,17","54,92",0,"86,24","10,98","64,74","62,3","57,94","5,72","50,58","50,62","118629,85","47,97","62,97","60,42",2099,"37,4","59,36","57,33","0,79","50,07","0,79","50540,28","61,78",1,4325,"57,8","48,32",1,"2,76","0,17","50,26",1,"65,37"
