Datum + Uhrzeit,Stromzähler Lü-Gerät Haus 7/Leistung (kW),Kältezähler Lü-Gerät Haus 13/Leistung (kW),Kältezähler Lü-Gerät Haus 9/Durchfluss (m³/h),Stromzähler Heizung/Energie (kWh),Rücklauf Lü-Gerät Haus 9 (°C),Rücklauf Lü-Gerät Haus 3 (°C),Vorlauf Lü-Gerät Haus 15 (°C),Rücklauf Lüftung Haus 13 (°C),Rücklauf Lü-Gerät Haus 5 (°C),Stromzähler Lü-Gerät Haus1/Energie (kWh),Stromzähler Lü-Gerät Haus9/Energie (kWh),Kältezähler Lü-Gerät Haus 15/Leistung (kW),Kältezähler Lü-Gerät Haus 1/Energie (kWh),Stromzähler ABL-WP/Energie (kWh),Zähler DLE/Leistung (kW),Kältezähler ABW-WP/Durchfluss (m³/h),Stromzähler Lü-Gerät Haus 9/Leistung (kW),Kältezähler ABL-WP/Durchfluss (m³/h),Kältezähler Lü-Gerät Haus 11/Durchfluss (m³/h),Kältezähler Lü-Gerät Haus 11/Energie (kWh),Kältezähler Lü-Gerät Haus 1/Durchfluss (m³/h),Kältezähler Lü-Gerät Haus 1/Leistung (kW),Zähler Pelletkessel/Leistung (kW),Kältezähler Lü-Gerät Haus 7/Durchfluss (m³/h),Kältezähler Lü-Gerät Haus 9/Leistung (kW),KMZ Lüftung Haus 3 Durchfluß m³ (m³/h),Kältezähler Lü-Gerät Haus 7/Leistung (kW),Vorlauf ABL-WP sekundär ext. (°C),Vorlauf DLE (°C),Vorlauf ABW-WP sekundär (°C),Rücklauf Pelletkessel n.RL-Anhebung (°C),Rücklauf ABW-WP primär (°C),Vorlauf ABL-WP sekundär (°C),Rücklauf ABL-WP sekundär (°C),Rücklauf WST (°C),Vorlaufzirkulation WST (°C),Rücklauf Pelletkessel v.RL-Anhebung (°C),Kältekreis ABW-WP Austritt (°C),Kältekreis ABL-WP Austritt (°C),Rücklauf DLE n.V. (°C),Außenfühler (°C),Rücklauf ABL-WP primär (°C),Rücklauf DLE v.V. (°C),Stromzähler ABW-WP/Energie (kWh),Zähler Vorlaufzirkulation WST/Leistung (kW),Stromzähler Lü-Gerät Haus 5/Leistung (kW),Stromzähler Lü-Gerät Haus 15/Leistung (kW),Stromzähler DLE/Energie (kWh),Stromzähler Lü-Gerät Haus11/Energie (kWh),Stromzähler Lü-Gerät Haus5/Energie (kWh),Kältezähler Lü-Gerät Haus 11/Leistung (kW),Stromzähler Lü-Gerät Haus3/Energie (kWh),Stromzähler ABW-WP/Leistung (kW),Stromzähler Lü-Gerät Haus7/Energie (kWh),Kältezähler Lü-Gerät Haus 13/Durchfluss (m³/h),Zähler Pelletkessel/Energie (kWh),Zähler DLE/Energie (kWh),Stromzähler Lü-Gerät Haus13/Energie (kWh),Stromzähler Lü-Gerät Haus 3/Leistung (kW),Kältezähler Lü-Gerät Haus 3/Leistung (kW),Kältezähler ABW-WP/Energie (kWh),Zähler ABL-WP/DurchflussZähler ABL-WP/Durchfluss (m³/h),Stromzähler Lü-Gerät Haus15/Energie (kWh),Kältezähler Lü-Gerät Haus 15/Energie (kWh),Stromzähler DLE/Leistung (kW),Stromzähler PV Haus 15/Leistung (kW),Kältezähler Lü-Gerät Haus 7/Energie (kWh),Stromzähler Lü-Gerät Haus 11/Leistung (kW),Zähler ABW-WP/Leistung (kW),Kältezähler ABW-WP/Leistung  (kW),Kältezähler ABL-WP/Leistung  (kW),Stromzähler Lü-Gerät Haus 13/Leistung (kW),Zähler Vorlaufzirkulation WST/Durchfluss (m³/h),Kältezähler Lü-Gerät Haus 5/Leistung (kW),Zähler Pelletkessel/Durchfluss (m³/h),Zähler ABL-WP/Energie (kWh),Kältezähler Lü-Gerät Haus 5/Energie (kWh),Kältezähler Lü-Gerät Haus 9/Energie (kWh),Kältezähler Lü-Gerät Haus 3/Energie (kWh),Zähler ABW-WP/Energie (kWh),Stromzähler Lü-Gerät Haus 1/Leistung (kW),Kältezähler Lü-Gerät Haus 13/Energie (kWh),Stromzähler ABL-WP/Leistung (kW),Kältezähler ABL-WP/Energie (kWh),Zähler DLE/Durchfluss (m³/h),Zähler ABL-WP/Leistung (kW),Zähler ABW-WP/Durchfluss (m³/h),Kältezähler Lü-Gerät Haus 15/Durchfluss (m³/h),Zähler Vorlaufzirkulation WST/Energie (kWh),Kältezähler Lü-Gerät Haus 5/Durchfluss (m³/h),Vorlauf Lü-Gerät Haus 7 (°C),Vorlauf Lü-Gerät Haus 9 (°C),Vorlauf Lü-Gerät Haus 1 (°C),Vorlauf Lü-Gerät Haus 3 (°C),Rücklauf Lü-Gerät Haus 13 (°C),Vorlauf Lü-Gerät Haus 5 (°C),Vorlauf Lü-Gerät Haus 13 (°C),Rücklauf Lü-Gerät Haus 15 (°C),Vorlauf Lü-Gerät Haus 11 (°C),Rücklauf Lü-Gerät Haus 11 (°C),Rücklauf Lü-Gerät Haus 7 (°C),Rücklauf Lü-Gerät Haus 1 (°C),Rücklauf Lüftung Haus 15 von KMZ (°C),Vorlauf WST (°C),Kältekreis ABL-WP Eintritt (°C),Vorlauf Pelletskessel (°C),Kältekreis ABW-WP Eintritt (°C),Rücklauf ABW-WP sekundär (°C),Vorlauf ABL-WP primär (°C),Vorlauf ABW-WP primär (°C)
31.12.2024 00:00,82,1100,0,0,,,,,,2121,2781,600,40165,98574,0,0,95,2,0,37768,0,200,107800,0,400,0,600,,,,,,,,,,,,,,,,,150972,0,75,131,13865,1856,3092,300,1916,30,2828,0,570640,11464,3541,53,900,521810,0,3938,56974,0,4,44634,43,0,0,0,121,0,100,5,481530,36625,42603,44983,698139,57,54930,62,233200,0,0,0,0,44129,0,,,,,,,,,,,,,,,,,,,,
31.12.2024 00:05,77,1000,0,0,,,,,,2121,2781,500,40165,98574,0,0,89,2,0,37768,0,100,112200,0,400,0,500,,,,,,,,,,,,,,,,,150972,0,76,131,13865,1856,3092,200,1916,32,2828,0,570650,11464,3541,50,700,521810,0,3938,56974,0,4,44634,57,0,0,0,127,0,0,5,481530,36625,42603,44983,698139,57,54930,97,233200,0,0,0,0,44129,0,,,,,,,,,,,,,,,,,,,,
31.12.2024 00:10,79,1000,0,0,,,,,,2121,2781,500,40165,98574,0,0,95,2,0,37768,0,100,104700,0,400,0,500,,,,,,,,,,,,,,,,,150972,0,77,131,13865,1856,3092,100,1916,31,2828,0,570660,11464,3541,52,600,521810,0,3938,56974,0,4,44634,52,0,0,0,102,0,0,5,481530,36625,42603,44983,698139,58,54930,97,233200,0,0,0,0,44129,0,,,,,,,,,,,,,,,,,,,,
31.12.2024 00:15,,,,,14,13,17,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,14,12,16,13,13,13,14,14,14,,,,,,,
31.12.2024 00:20,,,,,14,14,17,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,14,12,16,14,13,13,14,14,14,,,,,,,
31.12.2024 00:25,,,,,14,14,17,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,14,12,16,14,13,14,14,14,14,,,,,,,
31.12.2024 00:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,5",19,"5,22",66,"0,33","5,63","3,14",33,20,68,"-0,13","0,12",19,-2,"0,89",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,"5,21",82,"5,46","3,12","1,19","0,93"
31.12.2024 00:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,53",18,"5,29",66,"0,18","5,65","3,15",33,20,68,"-0,13","0,02",19,-3,"0,77",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,"5,22",81,"5,38","3,15","1,04","0,65"
31.12.2024 00:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,5",19,"5,3",66,"0,09","5,65","3,17",32,20,67,"-0,26","-0,08",19,-3,"0,67",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,"5,32",81,"5,39","3,16","0,92","0,55"
31.12.2024 01:00,77,500,0,0,,,,,,2121,2781,700,40167,98584,0,11,94,2,0,37770,0,500,88700,0,-200,0,500,,,,,,,,,,,,,,,,,150978,0,73,133,13865,1856,3092,400,1916,18425,2828,0,570740,11464,3541,50,600,521825,0,3938,56978,0,6,44637,48,58000,48300,0,111,0,400,6,481570,36627,42604,44986,698157,54,54933,102,233200,0,0,2,0,44129,0,,,,,,,,,,,,,,,,,,,,
31.12.2024 01:05,76,800,0,0,,,,,,2121,2781,700,40167,98584,0,11,95,2,0,37770,0,500,86700,0,300,0,1400,,,,,,,,,,,,,,,,,150979,0,78,132,13865,1856,3092,400,1916,18351,2828,0,570750,11464,3541,51,500,521829,0,3938,56978,0,6,44637,48,59900,48300,0,118,0,400,6,481570,36627,42604,44986,698162,57,54933,103,233200,0,0,2,0,44129,0,,,,,,,,,,,,,,,,,,,,
31.12.2024 01:10,75,2300,0,0,,,,,,2121,2781,700,40167,98584,0,11,93,2,0,37770,0,200,87900,0,1200,0,1500,,,,,,,,,,,,,,,,,150981,0,77,133,13865,1856,3092,600,1916,18429,2828,0,570760,11464,3541,53,600,521833,0,3938,56978,0,6,44637,48,59600,47500,0,113,0,600,6,481570,36627,42605,44986,698167,57,54933,104,233200,0,0,2,0,44129,0,,,,,,,,,,,,,,,,,,,,
31.12.2024 01:15,,,,,8,5,9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,9,10,5,10,12,6,10,5,7,6,6,,,,,,,
31.12.2024 01:20,,,,,9,6,12,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,11,13,6,10,12,7,11,5,8,7,8,,,,,,,
