Date;RLT001.ZUL_TE1.MS;RLT001.ZUL_TE.MS;RLT001.ZUL_TE3.MS;RLT001.ZUL_TE2.MS;RLT001.ZVE.MO.ErrSum;RLT001.ZVE.MO.Value;RLT001.ZVE.MO.ValueAct;RLT001.ZVE.MO.Man;RLT001.FVE.MO.ErrSum;RLT001.FVE.MO.Value;RLT001.FVE.MO.ValueAct;RLT001.FVE.MO.Man;RLT001.FOL_TE.MS;RLT001.AUL_TE.MS;RLT001.AUL_FE.MS;RLT001.FOL_FE.MS;RLT001.ABL_TE.MS;RLT001.ABL_FE.MS;RLT001.WRG_KL_RS.ValueAct;RLT001.WRG_KL_RS.Value;RLT001.ZUL_PR.MS;RLT001.ABL_PR.MS;RLT001.KRG.TV.MS;RLT001.KRG.TR.MS;RLT001.KRP.MO.AS;RLT001.KRP.MO.Lock;RLT001.KRP.MO.BE;RLT001.KRP.MO.On;RLT001.KRP.MO.ST;RLT001.KRP.MO.Man;RLT001.HRP.MO.AS;RLT001.HRP.MO.Lock;RLT001.HRP.MO.BE;RLT001.HRP.MO.On;RLT001.HRP.MO.ST;RLT001.HRP.MO.Man;RLT001.HRG.TV.MS;RLT001.HRG.TR.MS;RLT001.KRG.RV.ValueAct;RLT001.KRG.RV.Value;RLT001.HRG.RV.ValueAct;RLT001.HRG.RV.Value
;Luftung: Zuluft Temteratur nach WRG [°C]: Messung;Luftung: Zuluft Temperatur [°C]: Messung;Luftung: Zuluft Temteratur nach KRG [°C]: Messung;Luftung: Zuluft Temteratur nach HRG [°C]: Messung;Luftung: Zuluftventilator: Motor : Summenstörung!;Luftung: Zuluftventilator: Motor : Sollwert [%];Luftung: Zuluftventilator: Motor : Aktuelle Stellung [%];Luftung: Zuluftventilator: Motor : Manual mode active (Remains after reboot!);Luftung: Fortluftventilator: Motor : Summenstörung!;Luftung: Fortluftventilator: Motor : Sollwert [%];Luftung: Fortluftventilator: Motor : Aktuelle Stellung [%];Luftung: Fortluftventilator: Motor : Manual mode active (Remains after reboot!);Luftung: Fortluft Temperatur [°C]: Messung;Luftung: Außenlugt Temperatur Messung [°C]: Messung;Luftung: Außenluft Feuchte Messung [%rF]: Messung;Luftung: Fortluft Feuchtigkeit Messung [%rF]: Messung;Luftung: Abluft Temperatur [°C]: Messung;Luftung: Abluft Feuchte [%rF]: Messung;Luftung: Wärmerückgewinnung Klappe Regelsignal: Aktuelle Stellung [%];Luftung: Wärmerückgewinnung Klappe Regelsignal: Sollwert [%];Luftung: Zuluft Druck[Pa]: Messung;Luftung: Abluft Druck [Pa]: Messung;Luftung: Kühlregister: Temperatur Vorlauf [°C]: Messung;Luftung: Kühlregister: Temperatur Rücklauf [°C]: Messung;Luftung: Kühlregisterpumpe: Motor: Ansteuerung;Luftung: Kühlregisterpumpe: Motor: Aggregat sperren;Luftung: Kühlregisterpumpe: Motor: Betrieb;Luftung: Kühlregisterpumpe: Motor: Ansteuerung;Luftung: Kühlregisterpumpe: Motor: Störung;Luftung: Kühlregisterpumpe: Motor: Manual mode active (Remains after reboot!);Luftung: Heizregisterpumpe: Motor: Ansteuerung;Luftung: Heizregisterpumpe: Motor: Aggregat sperren;Luftung: Heizregisterpumpe: Motor: Betrieb;Luftung: Heizregisterpumpe: Motor: Ansteuerung;Luftung: Heizregisterpumpe: Motor: Störung;Luftung: Heizregisterpumpe: Motor: Manual mode active (Remains after reboot!);Luftung: Heizregister: Temperatur Vorlauf [°C]: Messung;Luftung: Heizregister: Temperatur Rücklauf [°C]: Messung;Luftung: Kühlregister: Regelventil: Aktuelle Stellung [%];Luftung: Kühlregister: Regelventil: Sollwert [%];Luftung: Heizregister: Regelventil: Aktuelle Stellung [%];Luftung: Heizregister: Regelventil: Sollwert [%]
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.06.2025 00:00:00,000;27,05;26,75;26,78;26,75;0;0;0,0244148075807978;0;0;0;0;0;30,14;30,46;30,4757835627308;37,8765221106601;27,66;45,5427716910306;18,4118167668691;0;0;0;27,15;26,7;0;0;0;0;0;0;0;0;0;0;0;0;27,75;27,78;0;0;0;0
23.06.2025 01:00:00,000;27,12;26,8;26,86;26,83;0;0;0,0244148075807978;0;0;0;0;0;30,16;30,47;30,2804651020844;37,9497665334025;27,72;45,5183568834498;18,4606463820307;0;0;0;27,11;26,01;0;0;0;0;0;0;0;0;0;0;0;0;27,81;27,84;0;0;0;0
23.06.2025 02:00:00,000;27,17;26,84;26,9;26,88;0;0;0,0244148075807978;0;0;0;0;0;30,16;30,4;30,3781243324076;38,0230109561449;27,77;45,616016113773;18,2897427289651;0;0;0;27,04;25,62;0;0;0;0;0;0;0;0;0;0;0;0;27,87;27,89;0;0;0;0
23.06.2025 03:00:00,000;27,25;26,87;26,97;26,94;0;0;0,0244148075807978;0;0;0;0;0;30,14;30,3;29,9874874111148;38,1206701864681;27,8;45,616016113773;18,2653279213843;0;0;0;26,96;25,33;0;0;0;0;0;0;0;0;0;0;0;0;27,89;27,93;0;0;0;0
23.06.2025 04:00:00,000;27,28;26,9;27,03;26,99;0;0;0,0244148075807978;0;0;0;0;0;30,04;30,19;30,5246131778924;38,0718405713065;27,83;45,6892605365154;18,4362315744499;0;0;0;26,91;25,23;0;0;0;0;0;0;0;0;0;0;0;0;27,92;27,95;0;0;0;0
23.06.2025 05:00:00,000;27,32;26,92;27,09;27,03;0;0;0,0488296151615955;0;0;0;0;0;30;30,08;31,1105685598315;37,9253517258217;27,86;45,6404309213538;18,2653279213843;0;0;0;26,88;25,13;0;0;0;0;0;0;0;0;0;0;0;0;27,93;27,97;0;0;0;0
23.06.2025 06:00:00,000;23,93;21,5;20,82;22,85;0;49,6031819562867;0,0244148075807978;0;0;42,420873232793;0;0;26,08;21,92;47,8621784112064;42,5397503585925;26,28;43,3698538163396;17,6061281167028;0;42,2376171147801;16,4799951170385;20,88;21,08;1;0;1;1;0;0;0;0;0;0;0;0;27,88;27,9;25;26,0737249701119;0;0
23.06.2025 07:00:00,000;24,01;21,4;20,68;23,1;0;48,1030094330825;0,0488296151615955;0;0;42,2175352865637;0;0;25,83;22,4;49,3758964812159;42,6374095889157;25,96;43,0280465102084;17,7526169621876;0;41,2610248115482;14,4047364726707;20,68;20,97;1;0;1;1;0;0;0;0;0;0;0;0;27,67;27,67;27;27,3916218920672;0;0
